No,Japanese,English,Math,Physics,Chemical
1,45,42,47,49,38
2,47,52,40,51,42
3,54,52,47,50,48
4,47,47,48,48,51
5,51,55,54,53,60
6,43,47,55,59,60
7,45,41,45,54,51
8,38,45,48,43,51
9,40,37,50,41,45
10,40,42,46,45,50
11,40,36,31,32,36
12,60,54,57,53,59
13,55,45,50,50,53
14,62,59,55,54,52
15,44,50,50,40,47
16,49,57,59,59,52
17,56,55,58,57,57
18,42,49,43,39,48
19,59,57,50,54,46
20,53,45,33,40,49
21,43,47,50,53,43
22,48,43,39,48,44
23,53,54,58,61,60
24,43,45,47,50,48
25,42,47,44,49,48
26,38,48,47,51,46
27,46,46,60,61,54
28,48,42,57,57,57
29,63,64,55,57,66
30,58,63,60,53,59
31,54,52,39,41,46
32,41,44,44,43,46
33,59,50,59,54,57
34,58,53,49,44,43
35,58,47,41,36,45
36,59,48,42,37,46
37,60,49,43,38,47
38,61,50,44,39,48
39,56,58,50,50,48
40,50,41,48,58,58
41,64,63,65,74,74
42,53,47,51,50,52
43,57,56,60,56,53
44,50,48,53,52,54
45,51,43,51,55,53
46,55,56,45,44,43
47,57,54,42,38,41
48,46,48,44,47,41
49,47,49,50,50,52
50,53,52,61,58,61